Ep,lr,bs,lamb,Score
10000,0.001,32,0.03,0.7584269662921348
100000,0.001,32,0.03,0.7415730337078652
1000,0.001,32,0.03,0.7134831460674157
1000,0.001,32,0.04,0.7471910112359551
1000,0.001,32,0.1,0.7359550561797753
1000,0.001,32,0.6,0.7303370786516854
1000,0.001,32,1,0.6573033707865169
10000,0.001,64,0.03,0.7415730337078652
100000,0.001,64,0.03,0.6910112359550562
10000,0.001,32,0.03,0.7696629213483146
10000,0.001,32,0.03,0.7865168539325843
10000,0.001,32,0.03,0.7471910112359551
10000,0.001,32,0.03,0.702247191011236
10000,0.001,32,0.03,0.7808988764044944
